order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
US-2020-146262,01/02/2020,01/09/2020,Standard Class,VW-21775,FUR-BO-10004695,452.45,5,0.5,-244.32
US-2020-104514,01/02/2020,01/04/2020,Second Class,CB-12535,OFF-AR-10001473,9.84,3,0,2.66
US-2020-146262,01/02/2020,01/09/2020,Standard Class,VW-21775,OFF-LA-10004544,23.68,2,0.2,8.88
US-2020-104514,01/02/2020,01/04/2020,Second Class,CB-12535,OFF-PA-10004285,20.04,3,0,9.62
US-2020-104514,01/02/2020,01/04/2020,Second Class,CB-12535,OFF-ST-10001837,85.52,2,0,22.24
US-2020-146262,01/02/2020,01/09/2020,Standard Class,VW-21775,TEC-AC-10000109,89.58,2,0.2,4.48
US-2020-146262,01/02/2020,01/09/2020,Standard Class,VW-21775,TEC-MA-10000864,1188,9,0.7,-950.4
US-2020-146262,01/02/2020,01/09/2020,Standard Class,VW-21775,TEC-PH-10002844,62.98,3,0.4,-14.7
US-2020-141243,01/03/2020,01/08/2020,Second Class,AH-10465,FUR-BO-10003272,1352.4,9,0.32,-437.54
US-2020-141243,01/03/2020,01/08/2020,Second Class,AH-10465,OFF-AR-10001246,7.06,3,0.2,0.79
US-2020-121097,01/03/2020,01/08/2020,Standard Class,SF-20965,OFF-PA-10001937,10.37,2,0.2,3.63
US-2020-141243,01/03/2020,01/08/2020,Second Class,AH-10465,TEC-AC-10003198,398.4,5,0.2,84.66
US-2020-104241,01/04/2020,01/09/2020,Standard Class,AG-10495,FUR-FU-10001473,192.22,14,0,69.2
US-2020-149811,01/04/2020,01/10/2020,Standard Class,CS-12250,OFF-BI-10003676,32.34,3,0,15.52
US-2020-149811,01/04/2020,01/10/2020,Standard Class,CS-12250,OFF-PA-10004082,39.9,5,0,19.95
US-2020-154970,01/05/2020,01/10/2020,Standard Class,SR-20740,FUR-CH-10003396,61.58,1,0.2,-6.93
US-2020-158701,01/05/2020,01/10/2020,Standard Class,JL-15175,OFF-AP-10004859,87.36,6,0,23.59
US-2020-108588,01/05/2020,01/10/2020,Standard Class,BG-11695,OFF-AR-10001615,59.52,3,0,15.48
US-2020-158701,01/05/2020,01/10/2020,Standard Class,JL-15175,OFF-BI-10001294,56.16,6,0.2,17.55
US-2020-108588,01/05/2020,01/10/2020,Standard Class,BG-11695,OFF-BI-10004506,13.17,2,0.2,4.61
US-2020-108588,01/05/2020,01/10/2020,Standard Class,BG-11695,OFF-EN-10000461,17.48,2,0,8.22
US-2020-149636,01/06/2020,01/12/2020,Standard Class,SP-20620,OFF-BI-10002764,1.94,2,0.7,-1.36
US-2020-149636,01/06/2020,01/12/2020,Standard Class,SP-20620,OFF-PA-10004041,29.6,5,0.2,9.25
US-2020-119480,01/09/2020,1/13/20,Standard Class,CC-12685,OFF-AP-10001205,163.44,3,0,45.76
US-2020-119480,01/09/2020,1/13/20,Standard Class,CC-12685,OFF-AR-10004691,42.76,2,0,11.12
US-2020-119480,01/09/2020,1/13/20,Standard Class,CC-12685,OFF-PA-10000474,106.32,3,0,49.97
US-2020-119480,01/09/2020,1/13/20,Standard Class,CC-12685,OFF-PA-10004996,51.55,5,0,24.23
US-2020-157154,01/10/2020,1/15/20,Standard Class,MM-17920,FUR-TA-10001889,1018.1,4,0.4,-373.3
US-2020-128608,01/12/2020,1/17/20,Standard Class,CS-12490,OFF-AR-10001374,10.37,2,0.2,1.56
US-2020-156755,01/12/2020,1/18/20,Standard Class,YS-21880,OFF-ST-10002615,465.18,3,0,120.95
US-2020-128608,01/12/2020,1/17/20,Standard Class,CS-12490,TEC-AC-10000487,10.38,2,0.2,2.21
US-2020-128608,01/12/2020,1/17/20,Standard Class,CS-12490,TEC-PH-10000912,26.38,4,0.4,2.64
US-2020-128608,01/12/2020,1/17/20,Standard Class,CS-12490,TEC-PH-10002262,107.12,3,0.4,-21.42
US-2020-128608,01/12/2020,1/17/20,Standard Class,CS-12490,TEC-PH-10004977,235.19,2,0.4,-43.12
US-2020-137526,1/13/20,1/17/20,Standard Class,PB-19150,FUR-FU-10001861,77.6,4,0,38.02
US-2020-137526,1/13/20,1/17/20,Standard Class,PB-19150,FUR-FU-10004845,464.85,9,0,92.97
US-2020-137526,1/13/20,1/17/20,Standard Class,PB-19150,OFF-BI-10003364,70.01,3,0.2,24.5
US-2020-169677,1/13/20,1/15/20,Second Class,KS-16300,OFF-LA-10003223,9.82,2,0,4.81
US-2020-101399,1/17/20,1/24/20,Standard Class,JS-15940,FUR-FU-10002918,254.74,7,0.6,-312.06
US-2020-152681,1/17/20,1/22/20,Standard Class,SC-20260,OFF-AR-10003183,6.68,2,0,2
US-2020-151547,1/17/20,1/23/20,Standard Class,AH-10465,OFF-SU-10000898,88.96,8,0.2,10.01
CA-2020-152681,1/17/20,1/22/20,Standard Class,SC-20260,OFF-AR-10003183,6.68,2,0,2
US-2020-141250,1/19/20,1/23/20,Standard Class,PM-18940,FUR-CH-10004875,199.3,4,0.3,-8.54
US-2020-141250,1/19/20,1/23/20,Standard Class,PM-18940,FUR-TA-10002855,102.44,1,0.3,-13.17
CA-2020-115238,1/21/20,1/24/20,Standard Class,JW-15220,FUR-FU-10001025,24.3,5,0,10.45
CA-2020-115238,1/21/20,1/24/20,Standard Class,JW-15220,FUR-FU-10002445,9.48,1,0,3.79
CA-2020-115238,1/21/20,1/24/20,Standard Class,JW-15220,FUR-FU-10002960,31.4,5,0,13.19
CA-2020-115238,1/21/20,1/24/20,Standard Class,JW-15220,OFF-PA-10002689,6.48,1,0,3.11
CA-2020-115238,1/21/20,1/24/20,Standard Class,JW-15220,TEC-PH-10001300,209.5,10,0,58.66
US-2020-119214,1/23/20,1/27/20,Standard Class,CW-11905,OFF-LA-10003077,14.62,2,0,6.87
US-2020-119214,1/23/20,1/27/20,Standard Class,CW-11905,OFF-PA-10002893,29.04,3,0,13.94
US-2020-128958,1/24/20,1/28/20,Standard Class,CR-12820,OFF-AR-10004757,13.12,5,0.2,2.13
US-2020-109603,1/26/20,02/01/2020,Standard Class,EM-13825,OFF-PA-10003790,182.72,8,0,84.05
US-2020-168746,1/27/20,1/29/20,Second Class,SV-20365,FUR-CH-10000513,181.99,2,0.3,-54.6
US-2020-164777,1/27/20,1/29/20,First Class,SC-20305,FUR-CH-10002024,2803.92,5,0.2,0
US-2020-168746,1/27/20,1/29/20,Second Class,SV-20365,TEC-PH-10000895,431.98,4,0.4,-100.79
US-2020-168746,1/27/20,1/29/20,Second Class,SV-20365,TEC-PH-10002555,155.37,1,0.4,-36.25
US-2020-116638,1/28/20,1/31/20,Second Class,JH-15985,FUR-TA-10000198,4297.64,13,0.4,-1862.31
US-2020-121797,1/30/20,02/06/2020,Standard Class,CC-12145,FUR-FU-10001876,227.36,7,0,81.85
US-2020-145401,1/30/20,02/04/2020,Standard Class,JP-15520,OFF-PA-10004405,14.3,6,0.2,5.01
US-2020-121797,1/30/20,02/06/2020,Standard Class,CC-12145,TEC-MA-10000488,1919.98,3,0.2,216
US-2020-149587,1/31/20,02/05/2020,Second Class,KB-16315,FUR-FU-10003799,53.34,3,0,16.54
US-2020-149587,1/31/20,02/05/2020,Second Class,KB-16315,OFF-BI-10002852,32.96,2,0,16.15
US-2020-149587,1/31/20,02/05/2020,Second Class,KB-16315,OFF-PA-10003177,12.96,2,0,6.22
US-2020-127327,02/03/2020,02/07/2020,Standard Class,PW-19030,FUR-CH-10004218,90.88,1,0.1,15.15
US-2020-140921,02/03/2020,02/05/2020,First Class,AA-10375,FUR-FU-10003347,28.4,2,0,11.08
US-2020-157959,02/03/2020,02/04/2020,First Class,RW-19540,FUR-FU-10004093,136.92,4,0,41.08
US-2020-132633,02/03/2020,02/05/2020,Second Class,KH-16630,OFF-BI-10002432,12.14,3,0.2,4.1
US-2020-103093,02/03/2020,02/07/2020,Standard Class,FO-14305,OFF-EN-10003286,74.52,9,0,35.02
US-2020-140921,02/03/2020,02/05/2020,First Class,AA-10375,TEC-AC-10004901,149.97,3,0,50.99
US-2020-156482,02/06/2020,2/13/20,Standard Class,IL-15100,FUR-BO-10002598,283.92,4,0,82.34
US-2020-156482,02/06/2020,2/13/20,Standard Class,IL-15100,FUR-CH-10001708,1268.82,9,0,266.45
US-2020-156482,02/06/2020,2/13/20,Standard Class,IL-15100,OFF-AR-10001022,5.68,2,0,1.76
US-2020-111507,02/06/2020,2/13/20,Standard Class,VW-21775,OFF-AR-10001315,5.28,3,0,1.53
US-2020-137064,02/06/2020,2/13/20,Standard Class,TS-21655,OFF-BI-10002049,2.93,3,0.8,-4.99
US-2020-104038,02/06/2020,02/08/2020,First Class,LO-17170,OFF-PA-10002751,29.9,5,0,13.46
US-2020-104038,02/06/2020,02/08/2020,First Class,LO-17170,OFF-ST-10002554,146.73,3,0,2.93
US-2020-137064,02/06/2020,2/13/20,Standard Class,TS-21655,OFF-ST-10003470,670.75,3,0.2,-125.77
US-2020-137064,02/06/2020,2/13/20,Standard Class,TS-21655,TEC-AC-10003499,18.53,2,0.2,4.4
US-2020-147529,02/07/2020,02/11/2020,Standard Class,DK-12835,OFF-EN-10000056,311.15,5,0,146.24
US-2020-147529,02/07/2020,02/11/2020,Standard Class,DK-12835,OFF-PA-10003349,12.96,2,0,6.35
US-2020-130491,02/08/2020,02/11/2020,First Class,BH-11710,OFF-AR-10001149,5.76,2,0,1.73
US-2020-130491,02/08/2020,02/11/2020,First Class,BH-11710,OFF-FA-10000134,5.81,1,0,1.8
US-2020-130491,02/08/2020,02/11/2020,First Class,BH-11710,OFF-PA-10000791,9.54,2,0,4.29
US-2020-114923,02/08/2020,2/13/20,Standard Class,LH-17020,TEC-PH-10003931,107.98,3,0.4,-27
US-2020-146038,02/09/2020,2/16/20,Standard Class,SJ-20215,FUR-CH-10002774,203.92,5,0.2,22.94
US-2020-135391,02/09/2020,02/11/2020,Second Class,FA-14230,FUR-FU-10001986,40.78,2,0.6,-30.59
US-2020-135391,02/09/2020,02/11/2020,Second Class,FA-14230,OFF-LA-10001074,40.1,4,0.2,13.53
US-2020-101007,02/09/2020,2/13/20,Second Class,MS-17980,TEC-AC-10001266,20.8,2,0.2,6.5
US-2020-153374,02/09/2020,2/13/20,Second Class,JF-15565,TEC-AC-10001908,479.95,6,0.2,89.99
US-2020-101126,02/10/2020,2/14/20,Second Class,NB-18655,OFF-ST-10000943,77.24,5,0.2,7.72
US-2020-147662,2/14/20,2/19/20,Standard Class,KB-16315,OFF-AR-10004999,14.35,3,0.2,0.9
US-2020-147662,2/14/20,2/19/20,Standard Class,KB-16315,OFF-BI-10001658,14.95,2,0.7,-11.96
US-2020-147662,2/14/20,2/19/20,Standard Class,KB-16315,OFF-BI-10002160,2.29,2,0.7,-1.68
US-2020-116876,2/14/20,2/21/20,Standard Class,TT-21070,OFF-BI-10002897,26.42,9,0.2,9.58
